Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Scleria bancana,Miq.,C3,Prakash et al. (1976),,Scleria,bancana,,
Scleria brownii,Kunth,C3,Takeda et al. (1985),,Scleria,brownii,,
Scleria ciliaris,Nees,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Scleria,ciliaris,,
Scleria corymbosa,Roxb.,C3,Govindarajalu (1975a),,Scleria,corymbosa,,
Scleria distans,Poir.,C3,Hesla et al. (1982),,Scleria,distans,,
Scleria foliosa,A. Rich.,C3,Hesla et al. (1982),,Scleria,foliosa,,
Scleria graeffeana,Boeck.,C3,Bruhl and Wilson (2007),,Scleria,graeffeana,,
Scleria greigiifolia,(Ridl.) C. B. Clarke,C3,Bruhl and Wilson (2007),-26.3 -25.98,Scleria,greigiifolia,,
Scleria iostephana,Nelmes,C3,Bruhl and Wilson (2007),-28.6,Scleria,iostephana,,
Scleria levis,Retz.,C3,Govindarajalu (1975a) Takeda et al. (1985) Bruhl et al. (1987) Ehleringer et al. (1987) Bruhl and Wilson (2007),,Scleria,levis,,
Scleria lithosperma,(L.) Sw.,C3,Govindarajalu (1975a) Prakash et al. (1976) Hesla et al. (1982) Takeda et al. (1985),,Scleria,lithosperma,,
Scleria lithosperma,(L.) Sw.,C4+,Hofstra et al. (1972) Raghavendra and Das (1976),,Scleria,lithosperma,,
Scleria lithosperma var. linearis,(L.) Sw. Benth.,C3,Govindarajalu (1975a),,Scleria,lithosperma,linearis,var.
Scleria lithosperma var. multispiculata,Govindarajalu,C3,Govindarajalu (1975a),,Scleria,lithosperma,multispiculata,var.
Scleria lithosperma var. muricata,Govindarajalu,C3,Govindarajalu (1975a),,Scleria,lithosperma,muricata,var.
Scleria mackaviensis,Boeck.,C3,Takeda et al. (1985),,Scleria,mackaviensis,,
Scleria melanomphala,Kunth,C3,Hesla et al. (1982),,Scleria,melanomphala,,
Scleria novaehollandiae,Boeck.,C3,Takeda et al. (1985),,Scleria,novaehollandiae,,
Scleria poaeoides,Ridl.,C3,Hesla et al. (1982),,Scleria,poaeoides,,
Scleria poiformis,Retz.,C3,Govindarajalu (1975a),,Scleria,poiformis,,
Scleria racemosa,Poir.,C3,Hesla et al. (1982),,Scleria,racemosa,,
Scleria rehmannii,C. B. Clarke,C3,Bruhl and Wilson (2007),-23.86,Scleria,rehmannii,,
Scleria rugosa,R. Br.,C3,Takeda et al. (1985),,Scleria,rugosa,,
Scleria sphacelata,F. Muell.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Scleria,sphacelata,,
Scleria sumatrensis,Retz.,C3,Koyama (1967) Govindarajalu (1975a),,Scleria,sumatrensis,,
Scleria terrestris,(L.) Fass.,C3,Govindarajalu (1975a) Ehleringer et al. (1987),,Scleria,terrestris,,
Scleria tessellata,Willd.,C3,Govindarajalu (1975a),,Scleria,tessellata,,
Scleria tricuspidata,S. T. Blake,C3,Takeda et al. (1985),,Scleria,tricuspidata,,
Sphaerocyperus erinaceus,(Ridl.) K. Lye,C4,Druyts-Voets (1970) Lerman and Raynal (1972) Bruhl and Wilson (2007),-11.7,Sphaerocyperus,erinaceus,,
Sumatroscirpus junghuhnii,(Miq.) Oteng-Yeboah,C3,Bruhl and Wilson (2007),,Sumatroscirpus,junghuhnii,,
Tetraria capillaris,(F. Muell.) J. M. Black,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-28.1,Tetraria,capillaris,,
Tetraria compacta,Levyns,C3,Bruhl and Wilson (2007),-24.49,Tetraria,compacta,,
Tetraria cuspidata,(Rottb.) C. B. Clarke,C3,Bruhl and Wilson (2007),-28.2,Tetraria,cuspidata,,
Tetraria exilis,Levyns,C3,Bruhl and Wilson (2007),-25.94,Tetraria,exilis,,
Tetraria natalensis,(C. B. Clarke) Koyama,C3,Bruhl and Wilson (2007),-25.80,Tetraria,natalensis,,
Tetraria octandra,(Nees) Kük.,C3,Bruhl and Wilson (2007),,Tetraria,octandra,,
Trachystylis stradbrokensis,S. T. Blake,C3,Bruhl and Wilson (2007),-29.8 -26.7,Trachystylis,stradbrokensis,,
Trianoptiles capensis,(Steud.) Harvey,C3,Bruhl and Wilson (2007),-27.6 -28.02,Trianoptiles,capensis,,
Trianoptiles solitaria,(C. B. Clarke) Levyns,C3,Bruhl and Wilson (2007),-25.82,Trianoptiles,solitaria,,
Trianoptiles stipitata,Levyns,C3,Bruhl and Wilson (2007),-29.24,Trianoptiles,stipitata,,
Trichophorum alpinum,(L.) Pers.,C3,Bruhl and Wilson (2007),-26.1,Trichophorum,alpinum,,
Trichophorum cespitosum,(L.) Hartm.,C3,Bender (1971) Bruhl and Wilson (2007),-27.1,Trichophorum,cespitosum,,
Trichophorum subcaptitatum,(Thwaites) D. A. Simpson,C3,Govindarajalu (1976),,Trichophorum,subcaptitatum,,
Trichoschoenus bosseri,J. Raynal,C3,Bruhl and Wilson (2007),-24.9,Trichoschoenus,bosseri,,
Tricostularia compressa,Nees ex Lehnm.,C3,Takeda et al. (1985),,Tricostularia,compressa,,
Tricostularia pauciflora,(F. Muell.) Benth.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Tricostularia,pauciflora,,
Tricostularia undulata,(Thwaites) J. Kern,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-26.5,Tricostularia,undulata,,
Trilepis lhotzkiana,Nees,C3,Bruhl and Wilson (2007),-28.7,Trilepis,lhotzkiana,,
Uncinia angustifolia,Hamlin,C3,Kukkonen (1967),,Uncinia,angustifolia,,
Uncinia brevicaulis,Thouars,C3,Kukkonen (1967),,Uncinia,brevicaulis,,
Uncinia compacta,R. Br.,C3,Bruhl and Wilson (2007),,Uncinia,compacta,,
Uncinia dawsonii,Hamlin,C3,Bruhl and Wilson (2007),-32.8,Uncinia,dawsonii,,
Uncinia divaricata,Boott,C3,Kukkonen (1967) Bruhl and Wilson (2007),,Uncinia,divaricata,,
Uncinia elegans,(Kük.) Hamlin,C3,Bruhl and Wilson (2007),,Uncinia,elegans,,
Uncinia erinacea,(Cav.) Pers.,C3,Kukkonen (1967),,Uncinia,erinacea,,
Uncinia flaccida,S. T. Blake,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Uncinia,flaccida,,
Uncinia hamata,(Schwartz) Urb.,C3,Kukkonen (1967),,Uncinia,hamata,,
Uncinia hookeri,Boott,C3,Bruhl and Wilson (2007),,Uncinia,hookeri,,
Uncinia nemoralis,K. L. Wilson,C3,Bruhl and Wilson (2007),,Uncinia,nemoralis,,
Uncinia nervosa,Boott,C3,Bruhl and Wilson (2007),,Uncinia,nervosa,,
Uncinia riparia,R. Br.,C3,Bruhl and Wilson (2007),,Uncinia,riparia,,
Uncinia sp. nov. aff. filiformis,Colenso ex Boott,C3,Bruhl and Wilson (2007),,Uncinia,sp. nov. aff. filiformis,,
Uncinia sulcata,K. L. Wilson,C3,Bruhl and Wilson (2007),,Uncinia,sulcata,,
Uncinia tenella,R. Br.,C3,Kukkonen (1967) Takeda et al. (1985) Bruhl and Wilson (2007),,Uncinia,tenella,,
Uncinia uncinata,(L. f.) Kük.,C3,Kukkonen (1967),,Uncinia,uncinata,,
Volkiella disticha,Merxm. and Czech.,C4,Lerman and Raynal (1972) Bruhl and Wilson (2007),-13.6,Volkiella,disticha,,
Websteria confervoides,(Poir.) S. S. Hoopser,C3,Lerman and Raynal (1972) Bruhl and Wilson (2007),-23.3,Websteria,confervoides,,
Zameioscirpus muticus,Dhooge and Goetgh.,C3,Dhooge et al. (2003),,Zameioscirpus,muticus,,
