Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Cyperus acuminatus,Torr. and Hook.,C3,Denton (1983) Li et al. (1999),,Cyperus,acuminatus,,
Cyperus aggregatus,(Willd.) Endl.,C4,Bruhl and Wilson (2007),,Cyperus,aggregatus,,
Cyperus aggregatus,(Willd.) Endl.,C3+,Li et al. (1999),,Cyperus,aggregatus,,
Cyperus ajax,C. B. Clarke,C3,Hesla et al. (1982),,Cyperus,ajax,,
Cyperus albopilosus,(C. B. Clarke) Kük.,C4,Hesla et al. (1982),,Cyperus,albopilosus,,
Cyperus albosanguineus,Kük.,C4,Hesla et al. (1982),,Cyperus,albosanguineus,,
Cyperus albostriatus,Schrad.,C3,Bruhl and Wilson (2007),,Cyperus,albostriatus,,
Cyperus albostriatus,Schrad.,C4+,Sonnenberg and Botha (1992),,Cyperus,albostriatus,,
Cyperus alopecuroides,Rottb.,C4,Druyts-Voets (1970) Hesla et al. (1982) Li and Jones (1994),,Cyperus,alopecuroides,,
Cyperus alterniflorus,R. Br.,C4,Bruhl and Wilson (2007),,Cyperus,alterniflorus,,
Cyperus alternifolius,L.,C3,Haberlandt (1884) Rikli (1895) Brown (1975) Takeda et al. (1980) Hesla et al. (1982) Krenzer et al. (1975) Li (1993) Li and Jones (1994) Bruhl and Wilson (2007),-30.3 -35.5,Cyperus,alternifolius,,
Cyperus amabilis,Vahl,C4,Druyts-Voets (1970) Meinzer (1978) Hesla et al. (1982) Bruhl and Wilson (2007),-13.0 -12.31,Cyperus,amabilis,,
Cyperus amauropus,Steud.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-14,Cyperus,amauropus,,
Cyperus amuricus,Maxim.,C4,Ueno and Takeda (1992) Bruhl and Wilson (2007),,Cyperus,amuricus,,
Cyperus anderssonii,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,anderssonii,,
Cyperus andinus,Palla,C3,Bruhl and Wilson (2007),-26.5,Cyperus,andinus,,
Cyperus angolensis,Boeck.,C4,Druyts-Voets (1970) Bruhl and Wilson (2007),,Cyperus,angolensis,,
Cyperus angustatus,R. Br.,C4,Bruhl and Wilson (2007),,Cyperus,angustatus,,
Cyperus aquatilis,R. Br.,C3,Carolin et al. (1977) Takeda et al. (1985),,Cyperus,aquatilis,,
Cyperus articulatus,L.,C4,Druyts-Voets (1970) Hesla et al. (1982) Meinzer (1978),,Cyperus,articulatus,,
Cyperus astartodes,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,astartodes,,
Cyperus atractocarpus,Ridl.,C4,Druyts-Voets (1970),,Cyperus,atractocarpus,,
Cyperus atroviridis,C. B. Clarke,C4,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,atroviridis,,
Cyperus aucheri,Jaub. and Spach,C4,Bruhl and Wilson (2007),,Cyperus,aucheri,,
Cyperus baoulensis,(Chevalier) Kük.,C4,Bruhl and Wilson (2007),,Cyperus,baoulensis,,
Cyperus bellus,Kunth,C4,Hesla et al. (1982),,Cyperus,bellus,,
Cyperus bernieri,Cherm.,C4,Bruhl and Wilson (2007),,Cyperus,bernieri,,
Cyperus betchei subsp. betchei,(Kük.) S. T. Blake,C4,Bruhl and Wilson (2007),,Cyperus,betchei,betchei,subsp.
Cyperus betchei subsp. commiscens,(Kük.) S. T. Blake K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,betchei,commiscens,subsp.
Cyperus bifax subsp. retzii,C. B. Clarke,C4,Carolin et al. (1977) Druyts-Voets (1970) Takeda et al. (1985),,Cyperus,bifax,retzii,subsp.
Cyperus blakeanus,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,blakeanus,,
Cyperus blysmoides,C. B. Clarke,C4,Hesla et al. (1982),,Cyperus,blysmoides,,
Cyperus bowmanii,F. Muell. ex Benth.,C4,Carolin et al. (1977) Takeda et al. (1985),,Cyperus,bowmanii,,
Cyperus bulbosus,Vahl,C4,Druyts-Voets (1970) Hesla et al. (1982) Takeda et al. (1985) Bruhl and Wilson (2007),-14,Cyperus,bulbosus,,
Cyperus burkartii,Guaglianone,C3,Guaglianone (1990),,Cyperus,burkartii,,
Cyperus callistus,Ridl.,C4,Druyts-Voets (1970) Bruhl and Wilson (2007),,Cyperus,callistus,,
Cyperus cancrorum,Cherm.,C4,Bruhl and Wilson (2007),,Cyperus,cancrorum,,
Cyperus capensis var. capensis,(Steud.) Endl.,C4,Bruhl and Wilson (2007),,Cyperus,capensis,capensis,var.
Cyperus capitatus,Vandelli,C4,Collins and Jones (1985) Li (1993) Bruhl and Wilson (2007),-11.1,Cyperus,capitatus,,
Cyperus carinatus,R. Br.,C4,Bruhl and Wilson (2007),,Cyperus,carinatus,,
Cyperus castaneus,Willd.,C4,Carolin et al. (1977) Takeda et al. (1985),,Cyperus,castaneus,,
Cyperus centralis,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,centralis,,
Cyperus cephalotes,Vahl,C3,Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,cephalotes,,
Cyperus chalaranthus,J. Presl and C. Presl,C3,Bruhl and Wilson (2007),,Cyperus,chalaranthus,,
Cyperus chordorrhizus,Chiovenda,C4,Hesla et al. (1982),,Cyperus,chordorrhizus,,
Cyperus chrysocephalus,(K. Schum.) Kük.,C4,Bruhl and Wilson (2007),,Cyperus,chrysocephalus,,
Cyperus circumclusus,(C. B. Clarke) Kük.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-11.1,Cyperus,circumclusus,,
Cyperus clarus,S. T. Blake,C4,Bruhl and Wilson (2007),,Cyperus,clarus,,
Cyperus clavinux,C. B. Clarke,C4,Bruhl and Wilson (2007),,Cyperus,clavinux,,
Cyperus colymbetes,Kotschy and Peyr.,C3,Druyts-Voets (1970),,Cyperus,colymbetes,,
Cyperus compactus,Retz.,C4,Takeda et al. (1985) Ueno and Takeda (1992),,Cyperus,compactus,,
Cyperus compressus,L.,C4,Druyts-Voets (1970) Hofstra et al. (1972) Prakash et al. (1976) Hesla et al. (1982) Takeda et al. (1085) Ueno et al. (1986) Ueno and Takeda (1992) Lin et al. (1993) Bruhl and Wilson (2007),-9.2 -9.85,Cyperus,compressus,,
Cyperus concinnus,R. Br.,C3,Bruhl and Wilson (2007),,Cyperus,concinnus,,
Cyperus confertus,Sw.,C4,Rikli (1895),,Cyperus,confertus,,
Cyperus congensis,C. B. Clarke,C4,Druyts-Voets (1970),,Cyperus,congensis,,
Cyperus congestus,Vahl,C4,Takeda et al. (1985) Li (1993) Li and Jones (1994) Sonnenberg and Botha (1992) Bruhl and Wilson (2007),-9.56,Cyperus,congestus,,
Cyperus conglomeratus,Rottb.,C4,Sabnis (1921) Druyts-Voets (1970) Hnatiuk (1980) Bruhl and Wilson (2007),-11.6,Cyperus,conglomeratus,,
Cyperus conicus,(R. Br.) Boeck.,C4,Carolin et al. (1977) Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,conicus,,
Cyperus constanzae,Urban,C3,Bruhl and Wilson (2007),,Cyperus,constanzae,,
